movieId,title,genres,year,movieTitle,imdb_url,cover_url
11,The American President,Comedy|Drama|Romance,1995.0,The American President (1995),https://www.imdb.com/title/tt0112346,https://m.media-amazon.com/images/M/MV5BNjhkMmU0M2YtZDUwYi00OWE0LWI5NTktODBjNDc1M2ZlMjI4XkEyXkFqcGdeQXVyNDAxNjkxNjQ@.jpg
12,Dracula: Dead and Loving It,Comedy|Horror,1995.0,Dracula: Dead and Loving It (1995),https://www.imdb.com/title/tt0112896,https://m.media-amazon.com/images/M/MV5BZWQ0ZDFmYzMtZGMyMi00NmYxLWE0MGYtYzM2ZGNhMTE1NTczL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjM5ODMxODc@.jpg
13,Balto,Adventure|Animation|Children,1995.0,Balto (1995),https://www.imdb.com/title/tt0112453,https://m.media-amazon.com/images/M/MV5BMjBhNmFlZjMtMzhlYy00NDBlLWFiMjctMmE0ZjgwOGM2MTNmXkEyXkFqcGdeQXVyNjExODE1MDc@.jpg
14,Nixon,Drama,1995.0,Nixon (1995),https://www.imdb.com/title/tt0113987,https://m.media-amazon.com/images/M/MV5BNzBlOWY0ZmEtZjdkYS00ZGU0LWEwN2YtYzBkNDM5ZDBjMmI1XkEyXkFqcGdeQXVyMTAwMzUyOTc@.jpg
15,Cutthroat Island,Action|Adventure|Romance,1995.0,Cutthroat Island (1995),https://www.imdb.com/title/tt0112760,https://m.media-amazon.com/images/M/MV5BNjg0ZjIzMDYtNmUyNS00NzQxLWFhZGQtOGYzMzE0ZWEwM2UxXkEyXkFqcGdeQXVyMDI2NDg0NQ@@.jpg
16,Casino,Crime|Drama,1995.0,Casino (1995),https://www.imdb.com/title/tt0112641,https://m.media-amazon.com/images/M/MV5BMTcxOWYzNDYtYmM4YS00N2NkLTk0NTAtNjg1ODgwZjAxYzI3XkEyXkFqcGdeQXVyNTA4NzY1MzY@.jpg
17,Sense and Sensibility,Drama|Romance,1995.0,Sense and Sensibility (1995),https://www.imdb.com/title/tt0114388,https://m.media-amazon.com/images/M/MV5BNzk1MjU3MDQyMl5BMl5BanBnXkFtZTcwNjc1OTM2MQ@@.jpg
18,Four Rooms,Comedy,1995.0,Four Rooms (1995),https://www.imdb.com/title/tt0113101,https://m.media-amazon.com/images/M/MV5BNDc3Y2YwMjUtYzlkMi00MTljLTg1ZGMtYzUwODljZTI1OTZjXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
19,Ace Ventura: When Nature Calls,Comedy,1995.0,Ace Ventura: When Nature Calls (1995),https://www.imdb.com/title/tt0112281,https://m.media-amazon.com/images/M/MV5BNGFiYTgxZDctNGI4OS00MWU1LWIwOGUtZmMyNGQxYjVkZjQ3XkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
20,Money Train,Action|Comedy|Crime|Drama|Thriller,1995.0,Money Train (1995),https://www.imdb.com/title/tt0113845,https://m.media-amazon.com/images/M/MV5BNjc3YjQwNGEtODI4Ny00MzgyLWEyMWYtNzMyMjk0MmI4YjY1XkEyXkFqcGdeQXVyMjUzOTY1NTc@.jpg
21,Get Shorty,Comedy|Crime|Thriller,1995.0,Get Shorty (1995),https://www.imdb.com/title/tt0113161,https://m.media-amazon.com/images/M/MV5BMjAwODYzNDY4Ml5BMl5BanBnXkFtZTcwODkwNTgzNA@@.jpg
22,Copycat,Crime|Drama|Horror|Mystery|Thriller,1995.0,Copycat (1995),https://www.imdb.com/title/tt0112722,https://m.media-amazon.com/images/M/MV5BYWUwNDk2ZDYtNmFkMi00NjE5LWE1M2ItYTRkNTFjZDU3ZDU4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTYxNjkxOQ@@.jpg
23,Assassins,Action|Crime|Thriller,1995.0,Assassins (1995),https://www.imdb.com/title/tt0112401,https://m.media-amazon.com/images/M/MV5BZWY5MGQ1NTQtNzkzNy00YTRkLTk2MjQtZTliNTJiNWZhMzk2XkEyXkFqcGdeQXVyMjUzOTY1NTc@.jpg
24,Powder,Drama|Sci-Fi,1995.0,Powder (1995),https://www.imdb.com/title/tt0114168,https://m.media-amazon.com/images/M/MV5BOGUzYzNiZTItYmZlNi00ODI1LThjNTMtNjI1MTNlZDQ0OGY2XkEyXkFqcGdeQXVyNjExODE1MDc@.jpg
25,Leaving Las Vegas,Drama|Romance,1995.0,Leaving Las Vegas (1995),https://www.imdb.com/title/tt0113627,https://m.media-amazon.com/images/M/MV5BNDg3MDM5NTI0MF5BMl5BanBnXkFtZTcwNDY0NDk0NA@@.jpg
26,Othello,Drama,1995.0,Othello (1995),https://www.imdb.com/title/tt0114057,https://m.media-amazon.com/images/M/MV5BNzVlMjhjYzctNjQ4My00OGMwLThmZTktODE4MWI3NzNkOWYyXkEyXkFqcGdeQXVyNjMwMjk0MTQ@.jpg
27,Now and Then,Children|Drama,1995.0,Now and Then (1995),https://www.imdb.com/title/tt0114011,https://m.media-amazon.com/images/M/MV5BMTM2MDQ1YjUtMGM0NC00NmFlLTljMDktZjJiNWRhMWYxOWYyXkEyXkFqcGdeQXVyNjgzMjI4ODE@.jpg
28,Persuasion,Drama|Romance,1995.0,Persuasion (1995),https://www.imdb.com/title/tt26933001,https://m.media-amazon.com/images/M/MV5BMTExMDViMDEtMGEzZS00NDJmLTkxNjMtMjQ2NmVhZDhjZjhjXkEyXkFqcGdeQXVyNTk0NTc4Ng@@.jpg
29,"The City of Lost Children (Cité des enfants perdus, La)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995.0,"The City of Lost Children (Cité des enfants perdus, La) (1995)",https://www.imdb.com/title/tt0112682,https://m.media-amazon.com/images/M/MV5BYjBlOGFhODEtZThmMS00OTgwLTk0MjAtNDgxNWFhY2JhYTE1XkEyXkFqcGdeQXVyMjUzOTY1NTc@.jpg
30,Shanghai Triad (Yao a yao yao dao waipo qiao),Crime|Drama,1995.0,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),https://www.imdb.com/title/tt0115012,https://m.media-amazon.com/images/M/MV5BODgzNGQyNjEtYTU0My00ZGY2LTg4Y2MtMWNiY2QyZGE1MGRiXkEyXkFqcGdeQXVyNjMwMjk0MTQ@.jpg
31,Dangerous Minds,Drama,1995.0,Dangerous Minds (1995),https://www.imdb.com/title/tt0112792,https://m.media-amazon.com/images/M/MV5BZjk2YjNkYTYtOTZkNy00ZmRkLWI5ODEtYzA4MTM3MzMyZjhlXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
32,Twelve Monkeys (a.k.a. 12 Monkeys),Mystery|Sci-Fi|Thriller,1995.0,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),https://www.imdb.com/title/tt0114746,https://m.media-amazon.com/images/M/MV5BN2Y2OWU4MWMtNmIyMy00YzMyLWI0Y2ItMTcyZDc3MTdmZDU4XkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
34,Babe,Children|Drama,1995.0,Babe (1995),https://www.imdb.com/title/tt0112431,https://m.media-amazon.com/images/M/MV5BYjg4ZjUzMzMtYzlmYi00YTcwLTlkOWUtYWFmY2RhNjliODQzXkEyXkFqcGdeQXVyNTUyMzE4Mzg@.jpg
36,Dead Man Walking,Crime|Drama,1995.0,Dead Man Walking (1995),https://www.imdb.com/title/tt0112818,https://m.media-amazon.com/images/M/MV5BMTM3NzA1MjM2N15BMl5BanBnXkFtZTcwMzY3MTMzNA@@.jpg
38,It Takes Two,Children|Comedy,1995.0,It Takes Two (1995),https://www.imdb.com/title/tt0113442,https://m.media-amazon.com/images/M/MV5BMzdhMGU0MzEtZjg1Ny00YzE5LWE0MGQtMTNiN2UwN2I5ZDBjXkEyXkFqcGdeQXVyNTgzMzU5MDI@.jpg
39,Clueless,Comedy|Romance,1995.0,Clueless (1995),https://www.imdb.com/title/tt0112697,https://m.media-amazon.com/images/M/MV5BMzBmOGQ0NWItOTZjZC00ZDAxLTgyOTEtODJiYWQ2YWNiYWVjXkEyXkFqcGdeQXVyNTE1NjY5Mg@@.jpg
40,"Cry, the Beloved Country",Drama,1995.0,"Cry, the Beloved Country (1995)",https://www.imdb.com/title/tt0112749,https://m.media-amazon.com/images/M/MV5BMTcwMDU1OTEwOF5BMl5BanBnXkFtZTcwMTg5NjEyMQ@@.jpg
41,Richard III,Drama|War,1995.0,Richard III (1995),https://www.imdb.com/title/tt0114279,https://m.media-amazon.com/images/M/MV5BOWI3NjhhZDItNWQ2NS00Zjg0LWIzMjctNzY0MjRmNzkyYzVmXkEyXkFqcGdeQXVyMTA0MjU0Ng@@.jpg
42,Dead Presidents,Action|Crime|Drama,1995.0,Dead Presidents (1995),https://www.imdb.com/title/tt0112819,https://m.media-amazon.com/images/M/MV5BNjdhZWEzMzEtMjNhZS00OThhLWFiZWUtM2EwMWU5MWE0MDA4XkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
43,Restoration,Drama,1995.0,Restoration (1995),https://www.imdb.com/title/tt0114272,https://m.media-amazon.com/images/M/MV5BZmQwODk5ZGItMDk5OS00MjU4LTgyYmUtYTBiMTFhYWM5MDY4XkEyXkFqcGdeQXVyMTMxMTY0OTQ@.jpg
44,Mortal Kombat,Action|Adventure|Fantasy,1995.0,Mortal Kombat (1995),https://www.imdb.com/title/tt0113855,https://m.media-amazon.com/images/M/MV5BNjY5NTEzZGItMGY3My00NzE4LThkYTUtYjJkNzk3MDBiMWE3XkEyXkFqcGdeQXVyNzg5MDE1MDk@.jpg
45,To Die For,Comedy|Drama|Thriller,1995.0,To Die For (1995),https://www.imdb.com/title/tt0114681,https://m.media-amazon.com/images/M/MV5BNGZhYzgwNzItNDljNC00MDM4LThiYjEtNDRhNmE5NDk2MTQ0XkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
46,How to Make an American Quilt,Drama|Romance,1995.0,How to Make an American Quilt (1995),https://www.imdb.com/title/tt0113347,https://m.media-amazon.com/images/M/MV5BNGYwZmZkYWItNjdmMi00MjI2LThmOGYtMmI1NTQ0OWQ1YWIxXkEyXkFqcGdeQXVyNzA5NjUyNjM@.jpg
47,Seven (a.k.a. Se7en),Mystery|Thriller,1995.0,Seven (a.k.a. Se7en) (1995),https://www.imdb.com/title/tt0114369,https://m.media-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg
48,Pocahontas,Animation|Children|Drama|Musical|Romance,1995.0,Pocahontas (1995),https://www.imdb.com/title/tt0114148,https://m.media-amazon.com/images/M/MV5BMzc4YzhiN2ItY2Y4NC00YTA0LWEyMjEtNzllNTcxZDdjODhiXkEyXkFqcGdeQXVyNTUyMzE4Mzg@.jpg
49,When Night Is Falling,Drama|Romance,1995.0,When Night Is Falling (1995),https://www.imdb.com/title/tt0114916,https://m.media-amazon.com/images/M/MV5BNGUxMDM1ODEtZjhjZi00NjVjLWEwNmUtNmZmOTQ1MzQxNmQ3XkEyXkFqcGdeQXVyMTMxMTY0OTQ@.jpg
50,The Usual Suspects,Crime|Mystery|Thriller,1995.0,The Usual Suspects (1995),https://www.imdb.com/title/tt0114814,https://m.media-amazon.com/images/M/MV5BYTViNjMyNmUtNDFkNC00ZDRlLThmMDUtZDU2YWE4NGI2ZjVmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg
52,Mighty Aphrodite,Comedy|Drama|Romance,1995.0,Mighty Aphrodite (1995),https://www.imdb.com/title/tt0113819,https://m.media-amazon.com/images/M/MV5BMTZmNjJmODktMTI1Ni00OWU5LWI0YTctNjc0MzVkNDE3M2Y0XkEyXkFqcGdeQXVyMjUzOTY1NTc@.jpg
53,Lamerica,Adventure|Drama,1994.0,Lamerica (1994),https://www.imdb.com/title/tt0110299,https://m.media-amazon.com/images/M/MV5BNjlmZmQ0ZGUtNTBjYy00ZTg3LWE1NmMtNDAyNDI2Zjc4ZDViXkEyXkFqcGdeQXVyMzIwNDY4NDI@.jpg
54,The Big Green,Children|Comedy,1995.0,The Big Green (1995),https://www.imdb.com/title/tt0112499,https://m.media-amazon.com/images/M/MV5BNmY4NWVkM2UtY2FkZC00NWJiLTg5N2EtYzk4NjJkMGE0YzA3XkEyXkFqcGdeQXVyNTM5NzI0NDY@.jpg
55,Georgia,Drama,1995.0,Georgia (1995),https://www.imdb.com/title/tt0113158,https://m.media-amazon.com/images/M/MV5BZWJiNjMwYzMtZWU5Yi00NGI0LTg5NGYtZDY4MWRiYjEwYTYzXkEyXkFqcGdeQXVyMTAwMzUyOTc@.jpg
57,Home for the Holidays,Drama,1995.0,Home for the Holidays (1995),https://www.imdb.com/title/tt0113321,https://m.media-amazon.com/images/M/MV5BMjc4Y2M1YTktNmY2Zi00NWRkLThmMWEtNGNlODQ5YTYwMDhlXkEyXkFqcGdeQXVyMTUzMDUzNTI3.jpg
58,"The Postman (Postino, Il)",Comedy|Drama|Romance,1994.0,"The Postman (Postino, Il) (1994)",https://www.imdb.com/title/tt0110877,https://m.media-amazon.com/images/M/MV5BZmVhNWIzOTMtYmVlZC00ZDVmLWIyODEtODEzOTAxYjAwMzVlXkEyXkFqcGdeQXVyMzIwNDY4NDI@.jpg
60,The Indian in the Cupboard,Adventure|Children|Fantasy,1995.0,The Indian in the Cupboard (1995),https://www.imdb.com/title/tt0113419,https://m.media-amazon.com/images/M/MV5BZWZlYmZiZGMtN2YyZC00MTdjLTllNjUtYWNhZDMwNDhhOTM1XkEyXkFqcGdeQXVyNTI4MjkwNjA@.jpg
61,Eye for an Eye,Drama|Thriller,1996.0,Eye for an Eye (1996),https://www.imdb.com/title/tt0116260,https://m.media-amazon.com/images/M/MV5BMDM4Mzc5ZjAtM2JjMi00NzU1LWEzM2MtNDQzNWI5MmRkM2I1XkEyXkFqcGdeQXVyNTAyODkwOQ@@.jpg
62,Mr. Holland's Opus,Drama,1995.0,Mr. Holland's Opus (1995),https://www.imdb.com/title/tt0113862,https://m.media-amazon.com/images/M/MV5BZDZhNDRlZjAtYzdhNy00ZjU1LWFlMDYtNjA5NjliM2Y5ZmVjL2ltYWdlXkEyXkFqcGdeQXVyNjE5MjUyOTM@.jpg
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy|Crime,1996.0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),https://www.imdb.com/title/tt0116126,https://m.media-amazon.com/images/M/MV5BY2NmM2M2MWItNjdlMC00ZWI3LTkwODUtZDNkYWZjYjgzZjY3XkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
64,Two if by Sea,Comedy|Romance,1996.0,Two if by Sea (1996),https://www.imdb.com/title/tt0118002,https://m.media-amazon.com/images/M/MV5BY2YwZjVkMjItYjY4Yy00M2QyLTg0Y2MtYmFiNTgzMjNmMmQzXkEyXkFqcGdeQXVyNzc5MjA3OA@@.jpg
65,Bio-Dome,Comedy,1996.0,Bio-Dome (1996),https://www.imdb.com/title/tt0115683,https://m.media-amazon.com/images/M/MV5BYzY0ZjI0NTUtNDE4Yi00OGU2LWExZDMtNTY1MTM3ZWE3MzEyXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
66,Lawnmower Man 2: Beyond Cyberspace,Action|Sci-Fi|Thriller,1996.0,Lawnmower Man 2: Beyond Cyberspace (1996),https://www.imdb.com/title/tt0116839,https://m.media-amazon.com/images/M/MV5BZGI0ZDZhOGUtZDZiOS00NWE2LThjNzQtYzI3ZGFjODUwZjlkXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
68,French Twist (Gazon maudit),Comedy|Romance,1995.0,French Twist (Gazon maudit) (1995),https://www.imdb.com/title/tt0113149,https://m.media-amazon.com/images/M/MV5BZGQ2YjMwZWYtMmVjZS00NTZkLTg2OGUtMTNlZjQwNWUyMDFiXkEyXkFqcGdeQXVyMTY5Nzc4MDY@.jpg
69,Friday,Comedy,1995.0,Friday (1995),https://www.imdb.com/title/tt0113118,https://m.media-amazon.com/images/M/MV5BYmEwNjNlZTUtNzkwMS00ZTlhLTkyY2MtMjM2MzlmODQyZGVhXkEyXkFqcGdeQXVyNTI4MjkwNjA@.jpg
70,From Dusk Till Dawn,Action|Comedy|Horror|Thriller,1996.0,From Dusk Till Dawn (1996),https://www.imdb.com/title/tt0116367,https://m.media-amazon.com/images/M/MV5BZjk3YmZhMDAtOWUzMS00YjE5LTkxNzAtY2I1NGZjMDA2ZTk0XkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
71,Fair Game,Action,1995.0,Fair Game (1995),https://www.imdb.com/title/tt0113010,https://m.media-amazon.com/images/M/MV5BMTE4M2Q2ZjctMGViNS00NzhiLWFkMjMtMjY2NWMzOWUzM2Y3XkEyXkFqcGdeQXVyNjU0NTI0Nw@@.jpg
72,Kicking and Screaming,Comedy|Drama,1995.0,Kicking and Screaming (1995),https://www.imdb.com/title/tt0113537,https://m.media-amazon.com/images/M/MV5BNWU2YjdlN2ItNTk2OS00MzMwLTlhYjctNDI0MDI0NTQ3OWY0XkEyXkFqcGdeQXVyNzI1NzMxNzM@.jpg
73,"Misérables, Les",Drama|War,1995.0,"Misérables, Les (1995)",https://www.imdb.com/title/tt0113828,https://m.media-amazon.com/images/M/MV5BZWE2ZDg2ODQtMDIwMi00NGE3LWEzZWMtNzBjZDExNGJmMGVhXkEyXkFqcGdeQXVyNjA0Mzc0MzI@.jpg
74,Bed of Roses,Drama|Romance,1996.0,Bed of Roses (1996),https://www.imdb.com/title/tt0115644,https://m.media-amazon.com/images/M/MV5BNTUwOWM4YmUtMzdkMi00YjEwLWE0MmEtZTBmMGNhYWU4OGI3XkEyXkFqcGdeQXVyNzc5MjA3OA@@.jpg
75,Big Bully,Comedy|Drama,1996.0,Big Bully (1996),https://www.imdb.com/title/tt0115676,https://m.media-amazon.com/images/M/MV5BNDdhZTdiOTAtMWNiMC00NDRmLTllZWItYWMzOWZjNDY3ZmRiXkEyXkFqcGdeQXVyNjMwMjk0MTQ@.jpg
76,Screamers,Action|Sci-Fi|Thriller,1995.0,Screamers (1995),https://www.imdb.com/title/tt0114367,https://m.media-amazon.com/images/M/MV5BM2M2ZGM0NDUtODRhNS00MjcxLTg3ZWYtYjkyZDJkYmVjOWYwXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
77,Nico Icon,Documentary,1995.0,Nico Icon (1995),https://www.imdb.com/title/tt0113973,https://m.media-amazon.com/images/M/MV5BNTY2MDM2NzcyM15BMl5BanBnXkFtZTcwMjk3MzcyMQ@@.jpg
78,The Crossing Guard,Action|Crime|Drama|Thriller,1995.0,The Crossing Guard (1995),https://www.imdb.com/title/tt0112744,https://m.media-amazon.com/images/M/MV5BMjkwNWMyZjQtNmU5MS00ZWE1LWE3NzMtNGZjNTlhYzcwNjIzXkEyXkFqcGdeQXVyMTAwMzUyOTc@.jpg
79,The Juror,Drama|Thriller,1996.0,The Juror (1996),https://www.imdb.com/title/tt0116731,https://m.media-amazon.com/images/M/MV5BYWZlNGEzNjUtZGRiZi00ZWMxLWJiMjAtN2E1OWI3MTM4MjdjXkEyXkFqcGdeQXVyMjUzOTY1NTc@.jpg
80,The White Balloon (Badkonake sefid),Children|Drama,1995.0,The White Balloon (Badkonake sefid) (1995),https://www.imdb.com/title/tt0112445,https://m.media-amazon.com/images/M/MV5BN2QzOTY0MjAtMDQ4MC00MTQ3LWIxM2UtZjc5MzkxYjRhZjdjXkEyXkFqcGdeQXVyNjkxOTM4ODY@.jpg
81,Things to Do in Denver When You're Dead,Crime|Drama|Romance,1995.0,Things to Do in Denver When You're Dead (1995),https://www.imdb.com/title/tt0114660,https://m.media-amazon.com/images/M/MV5BMzI0OWEzZmItOGUyOC00M2Y2LWIzNDEtY2EzYzAwNWI0ZDkyXkEyXkFqcGdeQXVyNTc1NTQxODI@.jpg
82,Antonia's Line (Antonia),Comedy|Drama,1995.0,Antonia's Line (Antonia) (1995),https://www.imdb.com/title/tt0112379,https://m.media-amazon.com/images/M/MV5BNDVmNjdhMzEtNDMzMy00NzI0LWI1ZmUtNjJiNGEzMDExZDY5XkEyXkFqcGdeQXVyMjM5NDQzNTk@.jpg
83,Once Upon a Time... When We Were Colored,Drama|Romance,1995.0,Once Upon a Time... When We Were Colored (1995),https://www.imdb.com/title/tt0114039,https://m.media-amazon.com/images/M/MV5BY2VmOWI4MzMtZmExYy00ZjNhLTk1Y2YtN2Q2ODkwMWViNDNkXkEyXkFqcGdeQXVyNjMwMjk0MTQ@.jpg
85,Angels and Insects,Drama|Romance,1995.0,Angels and Insects (1995),https://www.imdb.com/title/tt0112365,https://m.media-amazon.com/images/M/MV5BZTc1MzY1ODAtMDhlMS00NjgyLTlkNTEtZTUwYTM4MzFkNWNmXkEyXkFqcGdeQXVyNDE5MTU2MDE@.jpg
86,White Squall,Action|Adventure|Drama,1996.0,White Squall (1996),https://www.imdb.com/title/tt0118158,https://m.media-amazon.com/images/M/MV5BMzE1ZGU3ZGMtZjM3NS00YTA1LWE4MzMtMDcxMWZhMTA2YWRmXkEyXkFqcGdeQXVyMjUzOTY1NTc@.jpg
87,Dunston Checks In,Children|Comedy,1996.0,Dunston Checks In (1996),https://www.imdb.com/title/tt0116151,https://m.media-amazon.com/images/M/MV5BN2RhOTA4YzAtNTg3NC00NmYxLWI1YjQtYzM4NTJlYzVhZGYwXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
88,Black Sheep,Comedy,1996.0,Black Sheep (1996),https://www.imdb.com/title/tt0115697,https://m.media-amazon.com/images/M/MV5BYjc2NzU0YjUtYzkyNS00NjcwLWJiM2QtM2Y3YjFhMTQ0M2I3XkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
89,Nick of Time,Action|Thriller,1995.0,Nick of Time (1995),https://www.imdb.com/title/tt0113972,https://m.media-amazon.com/images/M/MV5BODg1ODNjMzItYjRkMS00NmExLTkxNWUtMWYwNWM2NDU1YzU1XkEyXkFqcGdeQXVyNTAyODkwOQ@@.jpg
92,Mary Reilly,Drama|Horror|Thriller,1996.0,Mary Reilly (1996),https://www.imdb.com/title/tt0117002,https://m.media-amazon.com/images/M/MV5BZWI5MzBiMjgtNDE2ZC00MTA1LWFmNWItZDQyMDA2NGE0MjQ5XkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
93,Vampire in Brooklyn,Comedy|Horror|Romance,1995.0,Vampire in Brooklyn (1995),https://www.imdb.com/title/tt0114825,https://m.media-amazon.com/images/M/MV5BNWFlYjJiYzUtNWE1YS00YzM5LTkxYzMtN2FlMjI4NTNlNzExXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
94,Beautiful Girls,Comedy|Drama|Romance,1996.0,Beautiful Girls (1996),https://www.imdb.com/title/tt0115639,https://m.media-amazon.com/images/M/MV5BOTQ4OTU0ODktY2E5YS00MGFhLTgwZTEtZWFkOGMxMmFmOTg0XkEyXkFqcGdeQXVyNzc5MjA3OA@@.jpg
95,Broken Arrow,Action|Adventure|Thriller,1996.0,Broken Arrow (1996),https://www.imdb.com/title/tt0115759,https://m.media-amazon.com/images/M/MV5BYzU2NDg3ZTItNzRmNy00NTQzLTljMDUtNjczOTMwZjEzNWVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
96,In the Bleak Midwinter,Comedy|Drama,1995.0,In the Bleak Midwinter (1995),https://www.imdb.com/title/tt0113403,https://m.media-amazon.com/images/M/MV5BMTIyMDEwMDAyMl5BMl5BanBnXkFtZTYwOTUwNTk4.jpg
97,"Hate (Haine, La)",Crime|Drama,1995.0,"Hate (Haine, La) (1995)",https://www.imdb.com/title/tt0113247,https://m.media-amazon.com/images/M/MV5BOTQxOGU0OWUtMzExYy00ZjIxLWJmMzAtNTI1Y2YxYTMxN2RkXkEyXkFqcGdeQXVyMjUzOTY1NTc@.jpg
99,Heidi Fleiss: Hollywood Madam,Documentary,1995.0,Heidi Fleiss: Hollywood Madam (1995),https://www.imdb.com/title/tt0113283,https://m.media-amazon.com/images/M/MV5BMTc4NDc5NzQzNF5BMl5BanBnXkFtZTcwMDUyODkxMQ@@.jpg
100,City Hall,Drama|Thriller,1996.0,City Hall (1996),https://www.imdb.com/title/tt0115907,https://m.media-amazon.com/images/M/MV5BZmMxMGEwNDAtZGVjYS00NWIyLWI4NGQtZGYzMjA0YzIzZGM4XkEyXkFqcGdeQXVyMTUzMDUzNTI3.jpg
101,Bottle Rocket,Adventure|Comedy|Crime|Romance,1996.0,Bottle Rocket (1996),https://www.imdb.com/title/tt0115734,https://m.media-amazon.com/images/M/MV5BNzFlYWQxMjMtYTdmOC00NDA0LWI5NWQtNjc5OTc1ZDdkOGExXkEyXkFqcGdeQXVyMjUzOTY1NTc@.jpg
